station,month,month_name,depth_m,temp_C,DO_mgl,chla_ugl,pH,NO3_N,NH4_N,air_temp_C,precip_mm
CIII,1,Jan,0,11,8,2.96,7.57,0.34,0,6.4,53
CIII,2,Feb,0,12,10,7.16,7.89,0.38,0,7.6,46
CIII,3,Mar,0,12.5,10,12.85,7.85,0.48,0,10.9,46
CIII,4,Apr,0,15.9,10,5.8,7.99,0.68,0,11.5,70
CIII,5,May,0,17.9,10,4.31,7.82,0.49,0,16.6,83
CIII,6,Jun,0,20.3,9.5,2.13,7.89,0.43,0,18.8,79
CIII,7,Jul,0,23.9,8.1,3.97,7.3,0.49,0,23.3,47
CIII,8,Aug,0,24.7,10,2.16,7.26,0.62,0,23.3,36
CIII,9,Sep,0,23,9.6,2.43,7.63,0.59,0,19.9,64
CIII,10,Oct,0,18.8,10.4,2.74,7.66,0.57,0,13.6,91
CIII,11,Nov,0,15.3,9.5,3.37,7.53,0.49,0,10.5,83
CIII,12,Dec,0,11.8,9.8,4.25,7.52,0.43,0,7.7,106
CIII,1,Jan,3,NA,10,3.47,7.72,0.29,0,6.4,53
CIII,2,Feb,3,NA,10.5,8.25,7.88,0.34,0,7.6,46
CIII,3,Mar,3,NA,10.7,11.22,7.89,0.35,0,10.9,46
CIII,4,Apr,3,NA,11.5,5.98,7.89,0.63,0,11.5,70
CIII,5,May,3,NA,11.2,6.12,7.77,0.35,0,16.6,83
CIII,6,Jun,3,NA,9.9,2.92,7.71,0.4,0,18.8,79
CIII,7,Jul,3,NA,8.1,4.24,7.4,0.48,0,23.3,47
CIII,8,Aug,3,NA,10.1,2.16,7.42,0.63,0,23.3,36
CIII,9,Sep,3,NA,9.8,2.72,7.35,0.6,0,19.9,64
CIII,10,Oct,3,NA,10.6,2.01,7.45,0.58,0,13.6,91
CIII,11,Nov,3,NA,9.5,3.65,7.49,0.49,0,10.5,83
CIII,12,Dec,3,NA,9.6,4.53,7.51,0.4,0,7.7,106
CIII,1,Jan,5,10.9,NA,NA,NA,NA,NA,6.4,53
CIII,2,Feb,5,11.2,NA,NA,NA,NA,NA,7.6,46
CIII,3,Mar,5,11.1,NA,NA,NA,NA,NA,10.9,46
CIII,4,Apr,5,14.9,NA,NA,NA,NA,NA,11.5,70
CIII,5,May,5,17.4,NA,NA,NA,NA,NA,16.6,83
CIII,6,Jun,5,17.3,NA,NA,NA,NA,NA,18.8,79
CIII,7,Jul,5,18.9,NA,NA,NA,NA,NA,23.3,47
CIII,8,Aug,5,22.1,NA,NA,NA,NA,NA,23.3,36
CIII,9,Sep,5,21.5,NA,NA,NA,NA,NA,19.9,64
CIII,10,Oct,5,18.3,NA,NA,NA,NA,NA,13.6,91
CIII,11,Nov,5,15.1,NA,NA,NA,NA,NA,10.5,83
CIII,12,Dec,5,11.5,NA,NA,NA,NA,NA,7.7,106
CIII,1,Jan,6,NA,10.2,7.36,7.74,0.27,0,6.4,53
