date,air_temp_C,air_temp_max_C,precip_mm,wind_ms,radiation_MJ_m2
2007-01-01,9.3,15.6,0,5.7,6.34
2007-01-02,8.9,12.6,3.9,4.2,4.63
2007-01-03,7.6,13.8,0,3.9,7.79
2007-01-04,8,15.2,0,4.4,6.88
2007-01-05,8.6,15.4,0,4.1,7.67
2007-01-06,8.4,15.8,0,4.1,7.83
2007-01-07,7.9,16.9,0,4.4,8.06
2007-01-08,8.8,15.3,0,6.4,5.5
2007-01-09,10.3,19.1,0,4.9,8.29
2007-01-10,11.3,17.4,0,9.2,8.39
2007-01-11,10.3,17.7,0,4.4,8.74
2007-01-12,10.3,18,0,3.5,8.8
2007-01-13,9.9,18.3,0,3.9,8.94
2007-01-14,10.3,16.8,0,3.4,8.44
2007-01-15,9.7,14.4,0,4.3,6.51
2007-01-16,10.5,15,0,7.2,8
2007-01-17,9.1,16.7,0,4.8,9.08
2007-01-18,9.1,17.3,0,5.3,8.19
2007-01-19,13,20.8,0,3.8,9.4
2007-01-20,12.3,20,0,3.9,9.45
2007-01-21,10.1,15.8,1.4,3.7,6.03
2007-01-22,10.9,13,0,7.5,4.47
2007-01-23,7.6,12.1,2.2,6.2,7.54
2007-01-24,3.6,8.5,0,4.3,10.17
2007-01-25,1.6,5.4,0.6,8.5,5.85
2007-01-26,1.6,7,0,8.6,10.77
2007-01-27,2.8,11.4,0,6.3,10.8
2007-01-28,3.8,11,0,4.7,10.33
2007-01-29,4.4,13,0,3.9,11.02
2007-01-30,5.4,10.7,0,5.3,10.71
2007-01-31,7.8,11.1,4.6,6.6,5.86
2007-02-01,7.6,12.9,0,4.5,9.5
2007-02-02,7.8,13.9,0,3.4,9.99
2007-02-03,6.8,12.6,0,3.6,10
2007-02-04,6.6,12,0,5.3,10.94
2007-02-05,8.3,14.8,0.1,5.4,8.06
2007-02-06,9.3,13.8,2.4,5.1,10.12
2007-02-07,8.2,14.9,0,5.4,8.51
2007-02-08,9.2,13.3,7,7.2,5.32
2007-02-09,8.6,14.9,0,6.4,7.81
2007-02-10,10.3,16.3,0.6,6,10.61
2007-02-11,11.2,19.2,0.5,4.8,10.85
2007-02-12,13.2,16.5,13.9,8.9,5.14
2007-02-13,10.4,14.8,1.6,5.7,6.38
2007-02-14,11.7,19.8,6.9,9.8,10.48
2007-02-15,11.8,21.4,0.2,6.7,14.24
2007-02-16,10.4,20,0,7.3,13.07
2007-02-17,10.6,12.4,20.4,5.3,1.91
2007-02-18,9.6,12.9,0.6,10.4,10.67
2007-02-19,9.9,15.5,0.1,5.7,12.09
2007-02-20,8.6,15.6,0,6.2,13.51
2007-02-21,9.5,14.8,0,4.2,11.44
2007-02-22,10.3,17.1,0,7.3,13
2007-02-23,10.8,18,0,4.2,13.34
2007-02-24,12.3,17.8,0.5,5.6,12.76
2007-02-25,10.2,14.3,9.6,5.8,5.66
2007-02-26,10,16.1,0.9,4.3,13.28
2007-02-27,11.3,18.7,0,5.1,15.03
2007-02-28,11.9,17.9,0.2,5.7,9.79
2007-03-01,13.2,17.8,0.1,4.5,10.82
2007-03-02,13.7,20.8,0,5.3,13.25
2007-03-03,14.8,20.5,0,5.4,10.86
2007-03-04,15.1,22.4,0,8.4,15.88
2007-03-05,13.2,16,2.2,9.2,9.78
2007-03-06,11.1,16.6,0,12.4,12.08
2007-03-07,11.2,16.4,9.5,10.2,12.24
2007-03-08,11.8,16.2,0.1,17,16.91
2007-03-09,11.3,18.3,0,7.7,17.77
2007-03-10,12.1,15.1,0,23.3,18.5
2007-03-11,11.9,18.1,0.1,11.6,18.28
2007-03-12,9.9,16.3,0,6.6,17.94
2007-03-13,10.9,18.1,0,5.8,18.36
2007-03-14,12.2,20.6,0,6.1,18.8
2007-03-15,12.3,18.4,0,7.6,15.69
2007-03-16,12.2,18.2,1.1,6.6,17.59
2007-03-17,13,20.5,0,5.8,19.56
2007-03-18,12.4,18.7,0,4.9,16.02
2007-03-19,9.5,10.9,16.7,5.8,7.91
2007-03-20,5.9,9.3,0,17.4,18
2007-03-21,6.7,10.8,0,18.7,20.04
2007-03-22,7.5,11.9,0,15.4,18.31
2007-03-23,7.5,13.8,0,5.3,18.63
2007-03-24,7.9,11.5,4.2,6.6,12.73
2007-03-25,7.3,10.8,5.6,3.9,10.9
2007-03-26,7.9,12.6,3.1,6.9,13.79
2007-03-27,9.2,14.3,1.4,6,14.4
2007-03-28,8.7,11.4,5.1,11.3,10.78
2007-03-29,11.7,15.7,0.9,14.2,18.9
2007-03-30,9.7,15,4.7,5.9,12.23
2007-03-31,9.4,13.5,8.1,6,11.2
