date,campaign_id,site,depth_m,temp_C
2023-01-25,230125,A,0.5,11.04
2023-01-25,230125,A,1,10.89
2023-01-25,230125,A,2,10.82
2023-01-25,230125,A,3,10.8
2023-01-25,230125,A,4,10.79
2023-01-25,230125,A,5,10.77
2023-01-25,230125,A,6,10.77
2023-01-25,230125,A,7,10.77
2023-01-25,230125,A,8,10.76
2023-01-25,230125,A,9,10.75
2023-01-25,230125,A,10,10.75
2023-01-25,230125,A,11,10.74
2023-01-25,230125,A,12,10.74
2023-01-25,230125,A,13,10.73
2023-01-25,230125,A,14,10.73
2023-01-25,230125,A,15,10.73
2023-01-25,230125,A,16,10.72
2023-01-25,230125,A,17,10.7
2023-01-25,230125,A,18,10.7
2023-01-25,230125,A,19,10.69
2023-01-25,230125,A,20,10.67
2023-01-25,230125,A,21,10.67
2023-01-25,230125,A,22,10.66
2023-01-25,230125,A,23,10.66
2023-01-25,230125,A,24,10.65
2023-01-25,230125,A,25,10.65
2023-01-25,230125,A,26,10.64
2023-01-25,230125,A,27,10.63
2023-01-25,230125,A,28,10.63
2023-01-25,230125,A,29,10.63
2023-01-25,230125,A,30,10.63
2023-01-25,230125,A,31,10.62
2023-01-25,230125,A,32,10.62
2023-01-25,230125,A,33,10.62
2023-01-25,230125,A,34,10.62
2023-01-25,230125,A,35,10.62
2023-01-25,230125,A,36,10.62
2023-01-25,230125,A,37,10.62
2023-01-25,230125,A,38,10.62
2023-01-25,230125,A,39,10.61
2023-01-25,230125,A,40,10.61
2023-01-25,230125,A,41,10.6
2023-01-25,230125,A,42,10.61
2023-01-25,230125,A,43,10.6
2023-01-25,230125,A,44,10.6
2023-01-25,230125,A,45,10.6
2023-01-25,230125,A,46,10.6
2023-01-25,230125,A,47,10.61
2023-01-25,230125,A,48,10.61
2023-01-25,230125,A,49,10.59
2023-01-25,230125,A,50,10.59
2023-01-25,230125,A,51,14.71
2023-01-25,230125,A,52,15.63
2023-01-25,230125,A,53,15.6
2023-01-25,230125,A,54,15.57
2023-01-25,230125,A,55,15.54
2023-01-25,230125,A,56,15.58
2023-01-25,230125,A,57,15.58
2023-01-25,230125,A,58,15.55
2023-01-25,230125,B,0.5,10.69
2023-01-25,230125,B,1,10.36
2023-01-25,230125,B,2,10.21
2023-01-25,230125,B,3,10.17
2023-01-25,230125,B,4,10.15
2023-01-25,230125,B,5,10.13
2023-01-25,230125,B,6,10.08
2023-01-25,230125,B,7,10.04
2023-01-25,230125,B,8,10.04
2023-01-25,230125,B,9,10.04
2023-01-25,230125,B,10,10.03
2023-01-25,230125,B,11,10.03
2023-01-25,230125,B,12,10.04
2023-01-25,230125,C,0.5,10.82
2023-01-25,230125,C,1,10.61
2023-01-25,230125,C,2,10.45
2023-01-25,230125,C,3,10.42
2023-01-25,230125,C,4,10.4
2023-01-25,230125,C,5,10.39
2023-01-25,230125,C,6,10.39
2023-01-25,230125,C,7,10.38
2023-01-25,230125,C,8,10.38
2023-01-25,230125,C,9,10.38
2023-01-25,230125,C,10,10.37
2023-01-25,230125,C,11,10.38
2023-01-25,230125,C,12,10.38
2023-01-25,230125,C,13,10.38
2023-01-25,230125,C,14,10.38
2023-01-25,230125,C,15,10.39
2023-01-25,230125,C,16,10.39
2023-01-25,230125,C,17,10.39
2023-01-25,230125,C,18,10.4
2023-01-25,230125,C,19,10.4
2023-01-25,230125,C,20,10.43
2023-01-25,230125,C,21,10.4
2023-01-25,230125,C,22,10.76
2023-01-25,230125,C,23,13.71
2023-01-25,230125,C,24,14.36
2023-01-25,230125,C,25,14.36
2023-01-25,230125,C,26,14.36
2023-01-25,230125,C,27,14.36
2023-01-25,230125,C,28,17.5
2023-01-25,230125,C,29,18.29
2023-01-25,230125,C,30,18.28
2023-01-25,230125,C,31,18.12
2023-01-25,230125,C,32,18.12
2023-01-25,230125,C,33,18.37
2023-01-25,230125,C,34,18.35
2023-01-25,230125,C,35,18.3
2023-01-25,230125,C,36,18.31
2023-01-25,230125,C,37,18.31
2023-01-25,230125,C,38,18.3
2023-01-25,230125,C,39,18.26
2023-01-25,230125,C,40,18.27
2023-01-25,230125,C,41,18.27
2023-01-25,230125,C,42,18.27
2023-01-25,230125,C,43,18.28
2023-01-25,230125,C,44,18.28
2023-01-25,230125,C,45,18.28
2023-01-25,230125,C,46,18.28
2023-01-25,230125,C,47,18.28
2023-01-25,230125,D,0.5,11.1
2023-01-25,230125,D,1,10.97
2023-01-25,230125,D,2,10.89
2023-01-25,230125,D,3,10.87
2023-01-25,230125,D,4,10.85
2023-01-25,230125,D,5,10.84
2023-01-25,230125,D,6,10.83
2023-01-25,230125,D,7,10.83
2023-01-25,230125,D,8,10.82
2023-01-25,230125,D,9,10.82
2023-01-25,230125,D,10,10.82
2023-01-25,230125,D,11,10.81
2023-01-25,230125,D,12,10.81
2023-01-25,230125,D,13,10.81
2023-01-25,230125,D,14,10.81
2023-01-25,230125,D,15,10.81
2023-01-25,230125,D,16,10.81
2023-01-25,230125,D,17,10.81
2023-01-25,230125,D,18,10.81
2023-01-25,230125,D,19,10.81
2023-01-25,230125,D,20,10.81
2023-01-25,230125,D,21,10.8
2023-01-25,230125,D,22,10.8
2023-01-25,230125,D,23,10.8
2023-01-25,230125,D,24,10.8
2023-01-25,230125,D,25,10.8
2023-01-25,230125,D,26,10.8
2023-01-25,230125,D,27,10.8
